method,transition,metric,variable,value
mcc,hg38->ce11,roc_auc,worse_count,-2
mcc,ce11->hg38,accuracy,worse_count,-2
mcc,ce11->hg38,pr_auc,worse_count,-2
mcc,ce11->hg38,roc_auc,worse_count,-3
mcc,ce11->mm10,accuracy,worse_count,0
mcc,ce11->mm10,pr_auc,worse_count,0
mcc,ce11->mm10,roc_auc,worse_count,0
mcd,mm10->ce11,accuracy,worse_count,-4
mcd,mm10->ce11,pr_auc,worse_count,-3
mcd,mm10->ce11,roc_auc,worse_count,-3
mcd,hg38->ce11,accuracy,worse_count,-3
mcd,hg38->ce11,pr_auc,worse_count,-4
mcd,hg38->ce11,roc_auc,worse_count,-3
mcd,ce11->hg38,accuracy,worse_count,-2
mcd,ce11->hg38,pr_auc,worse_count,-4
mcd,ce11->hg38,roc_auc,worse_count,-4
mcd,ce11->mm10,accuracy,worse_count,-3
mcd,ce11->mm10,pr_auc,worse_count,-2
